bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
86852,36,HB4001,1,Introduced,2009-01-22,"Income tax; property tax credit; income qualifier phaseout and amount of credit; eliminate and increase. Amends secs. 520 & 522 of 1967 PA 281 (MCL 206.520 & 206.522).","Income tax; property tax credit; income qualifier phaseout and amount of credit; eliminate and increase. Amends secs. 520 & 522 of 1967 PA 281 (MCL 206.520 & 206.522).",825,"House Tax Policy",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4001/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4001
86853,36,HB4002,1,Introduced,2009-01-22,"Campaign finance; campaign practices; automated campaign telephone calls; prohibit. Amends sec. 931 of 1954 PA 116 (MCL 168.931).","Campaign finance; campaign practices; automated campaign telephone calls; prohibit. Amends sec. 931 of 1954 PA 116 (MCL 168.931).",890,"House Ethics And Elections",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4002/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4002
86854,36,HB4003,1,Introduced,2009-01-22,"Michigan business tax; other; small business tax credit; modify. Amends secs. 200, 411, 417 & 505 of 2007 PA 36 (MCL 208.1200 et seq.).","Michigan business tax; other; small business tax credit; modify. Amends secs. 200, 411, 417 & 505 of 2007 PA 36 (MCL 208.1200 et seq.).",825,"House Tax Policy",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4003/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4003
86855,36,HB4004,1,Introduced,2009-01-22,"Income tax; credit; for the purchase and installation of certain residential renewable energy systems; create. Amends 1967 PA 281 (MCL 206.1 - 206.532) by adding sec. 254.","Income tax; credit; for the purchase and installation of certain residential renewable energy systems; create. Amends 1967 PA 281 (MCL 206.1 - 206.532) by adding sec. 254.",898,"House Energy And Technology",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4004/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4004
86856,36,HB4005,1,Introduced,2009-01-22,"Children; parental rights; rights of putative father; require document notarization before termination. Amends sec. 37, ch. X of 1939 PA 288 (MCL 710.37).","Children; parental rights; rights of putative father; require document notarization before termination. Amends sec. 37, ch. X of 1939 PA 288 (MCL 710.37).",819,"House Families And Children's Services",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4005/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4005
86857,36,HB4006,1,Introduced,2009-01-22,"Records; adoption; issuance of certified copy of original certificate of live birth to certain adopted individuals; allow. Amends sec. 2882 of 1978 PA 368 (MCL 333.2882). TIE BAR WITH: HB 4015'09","Records; adoption; issuance of certified copy of original certificate of live birth to certain adopted individuals; allow. Amends sec. 2882 of 1978 PA 368 (MCL 333.2882). TIE BAR WITH: HB 4015'09",819,"House Families And Children's Services",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4006/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4006
86858,36,HB4007,1,Introduced,2009-01-22,"Insurance; health; coverage for prosthetics and orthotics; provide for. Amends 1956 PA 218 (MCL 500.100 - 500.8302) by adding sec. 3406s.","Insurance; health; coverage for prosthetics and orthotics; provide for. Amends 1956 PA 218 (MCL 500.100 - 500.8302) by adding sec. 3406s.",892,"House Health Policy",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4007/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4007
86859,36,HB4008,1,Introduced,2009-01-22,"Health facilities; hospitals; development of an acuity system and staffing plan for nurses; require. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding sec. 21525.","Health facilities; hospitals; development of an acuity system and staffing plan for nurses; require. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding sec. 21525.",892,"House Health Policy",2009-02-03,"Reassign To Committee On Health Policy 01/28/2009",https://legiscan.com/MI/bill/HB4008/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4008
86860,36,HB4009,1,Introduced,2009-01-22,"Insurance; health care corporations; coverage for prosthetics and orthotics; provide for. Amends sec. 415 of 1980 PA 350 (MCL 550.1415) & adds sec. 415a.","Insurance; health care corporations; coverage for prosthetics and orthotics; provide for. Amends sec. 415 of 1980 PA 350 (MCL 550.1415) & adds sec. 415a.",892,"House Health Policy",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4009/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4009
86861,36,HB4010,1,Introduced,2009-01-22,"Health facilities; hospitals; disclosure of hospital-acquired infection rates; require. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding sec. 21525.","Health facilities; hospitals; disclosure of hospital-acquired infection rates; require. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding sec. 21525.",892,"House Health Policy",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4010/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4010
86862,36,HB4011,1,Introduced,2009-01-22,"Elections; candidates; precinct delegates; revise period of time to file as write-in candidate. Amends sec. 737a of 1954 PA 116 (MCL 168.737a).","Elections; candidates; precinct delegates; revise period of time to file as write-in candidate. Amends sec. 737a of 1954 PA 116 (MCL 168.737a).",890,"House Ethics And Elections",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4011/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4011
86863,36,HB4012,1,Introduced,2009-01-22,"Health facilities; other; laundering of surgical or work clothes exposed to blood or other infectious material; require facilities to comply with governing bloodborne infectious diseases and to not allow employees to launder at home. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding sec. 20195a.","Health facilities; other; laundering of surgical or work clothes exposed to blood or other infectious material; require facilities to comply with governing bloodborne infectious diseases and to not allow employees to launder at home. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding sec. 20195a.",892,"House Health Policy",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4012/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4012
86864,36,HB4013,1,Introduced,2009-01-22,"Health facilities; nursing homes; notification of next of kin, county medical examiner, and others when patient dies in nursing home or home for the aged; require. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding secs. 21334 & 21784a.","Health facilities; nursing homes; notification of next of kin, county medical examiner, and others when patient dies in nursing home or home for the aged; require. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding secs. 21334 & 21784a.",893,"House Senior Health, Security, And Retirement",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4013/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4013
86865,36,HB4014,1,Introduced,2009-01-22,"Insurance; health; wheelchair ramps; include with durable medical equipment coverage. Amends 1956 PA 218 (MCL 500.100 - 500.8302) by adding sec. 3406s.","Insurance; health; wheelchair ramps; include with durable medical equipment coverage. Amends 1956 PA 218 (MCL 500.100 - 500.8302) by adding sec. 3406s.",894,"House Insurance",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4014/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4014
86866,36,HB4015,1,Introduced,2009-01-22,"Children; adoption; access to certain adoption records; allow unless a denial is on record. Amends secs. 27b & 68, ch. X of 1939 PA 288 (MCL 710.27b & 710.68).","Children; adoption; access to certain adoption records; allow unless a denial is on record. Amends secs. 27b & 68, ch. X of 1939 PA 288 (MCL 710.27b & 710.68).",819,"House Families And Children's Services",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4015/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4015
86867,36,HB4016,1,Introduced,2009-01-22,"Michigan business tax; credit; credit for certain costs incurred during carbon dioxide sequestration and capture; provide for. Amends 2007 PA 36 (MCL 208.1101 - 208.1601) by adding sec. 461.","Michigan business tax; credit; credit for certain costs incurred during carbon dioxide sequestration and capture; provide for. Amends 2007 PA 36 (MCL 208.1101 - 208.1601) by adding sec. 461.",898,"House Energy And Technology",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4016/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4016
86868,36,HB4017,1,Introduced,2009-01-22,"Elections; local; Michigan election law; amend to allow nonresident owners of real property the right to vote on millage issues. Amends secs. 10, 11 & 492 of 1954 PA 116 (MCL 168.10 et seq.).","Elections; local; Michigan election law; amend to allow nonresident owners of real property the right to vote on millage issues. Amends secs. 10, 11 & 492 of 1954 PA 116 (MCL 168.10 et seq.).",825,"House Tax Policy",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4017/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4017
86869,36,HB4018,1,Introduced,2009-01-22,"Elections; local; fourth class cities; amend to allow nonresident owners of real property the right to vote on millage issues. Amends sec. 1, ch. IV of 1895 PA 215 (MCL 84.1).","Elections; local; fourth class cities; amend to allow nonresident owners of real property the right to vote on millage issues. Amends sec. 1, ch. IV of 1895 PA 215 (MCL 84.1).",825,"House Tax Policy",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4018/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4018
86870,36,HB4019,1,Introduced,2009-01-22,"Elections; local; general law village act; amend to allow nonresident owners of real property the right to vote on millage issues. Amends sec. 4, ch. III of 1895 PA 3 (MCL 63.4).","Elections; local; general law village act; amend to allow nonresident owners of real property the right to vote on millage issues. Amends sec. 4, ch. III of 1895 PA 3 (MCL 63.4).",825,"House Tax Policy",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4019/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4019
86871,36,HB4020,1,Introduced,2009-01-22,"Elections; local; revised school code; amend to allow nonresident owners of real property the right to vote on millage issues. Amends sec. 6 of 1976 PA 451 (MCL 380.6).","Elections; local; revised school code; amend to allow nonresident owners of real property the right to vote on millage issues. Amends sec. 6 of 1976 PA 451 (MCL 380.6).",825,"House Tax Policy",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4020/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4020
86872,36,HB4021,1,Introduced,2009-01-22,"Corrections; prisoners; commutation hearings and procedures; expedite for prisoners who are terminally ill. Amends secs. 35 & 44 of 1953 PA 232 (MCL 791.235 & 791.244).","Corrections; prisoners; commutation hearings and procedures; expedite for prisoners who are terminally ill. Amends secs. 35 & 44 of 1953 PA 232 (MCL 791.235 & 791.244).",821,"House Judiciary",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4021/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4021
86873,36,HB4022,1,Introduced,2009-01-22,"Elections; campaign practices; do-not-call list for automated political telephone calls; provide for. Amends secs. 2, 5 & 11 of 1976 PA 388 (MCL 169.202 et seq.) & adds sec. 48.","Elections; campaign practices; do-not-call list for automated political telephone calls; provide for. Amends secs. 2, 5 & 11 of 1976 PA 388 (MCL 169.202 et seq.) & adds sec. 48.",890,"House Ethics And Elections",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4022/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4022
86874,36,HB4023,1,Introduced,2009-01-22,"Energy; other; utility purchase of electricity from community-based energy development projects; provide for. Amends secs. 3, 5, 9 & 13 of 2008 PA 295 (MCL 460.1003 et seq.) & adds sec. 28.","Energy; other; utility purchase of electricity from community-based energy development projects; provide for. Amends secs. 3, 5, 9 & 13 of 2008 PA 295 (MCL 460.1003 et seq.) & adds sec. 28.",898,"House Energy And Technology",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4023/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4023
86875,36,HB4024,1,Introduced,2009-01-22,"Housing; landlord and tenants; inventory checklist; provide for tenant right to be present. Amends sec. 8 of 1972 PA 348 (MCL 554.608).","Housing; landlord and tenants; inventory checklist; provide for tenant right to be present. Amends sec. 8 of 1972 PA 348 (MCL 554.608).",888,"House Intergovernmental & Regional Affairs",2009-02-04,"Reassign To Committee On Intergovernmental And Regional Affairs 02/04/2009",https://legiscan.com/MI/bill/HB4024/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4024
86876,36,HB4025,1,Introduced,2009-01-22,"Criminal procedure; sex offender registration; individual found not guilty of a sex offense by reason of insanity to be placed on sex offender registry; require. Amends sec. 2 of 1994 PA 295 (MCL 28.722).","Criminal procedure; sex offender registration; individual found not guilty of a sex offense by reason of insanity to be placed on sex offender registry; require. Amends sec. 2 of 1994 PA 295 (MCL 28.722).",821,"House Judiciary",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4025/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4025
86877,36,HB4026,1,Introduced,2009-01-22,"Fire; other; fees for fire inspection services; allow. Amends sec. 2c of 1941 PA 207 (MCL 29.2c).","Fire; other; fees for fire inspection services; allow. Amends sec. 2c of 1941 PA 207 (MCL 29.2c).",829,"Senate Appropriations",2009-04-21,"Referred To Committee On Appropriations",https://legiscan.com/MI/bill/HB4026/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4026
86878,36,HB4027,1,Introduced,2009-01-22,"Elections; polling places; provision regarding certain prohibited conduct within 100 feet of a polling place; modify to 500 feet. Amends secs. 744 & 931 of 1954 PA 116 (MCL 168.744 & 168.931).","Elections; polling places; provision regarding certain prohibited conduct within 100 feet of a polling place; modify to 500 feet. Amends secs. 744 & 931 of 1954 PA 116 (MCL 168.744 & 168.931).",890,"House Ethics And Elections",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4027/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4027
86879,36,HB4028,1,Introduced,2009-01-22,"Vehicles; motorcycles; motorcycle helmet requirement; abolish. Amends sec. 658 of 1949 PA 300 (MCL 257.658).","Vehicles; motorcycles; motorcycle helmet requirement; abolish. Amends sec. 658 of 1949 PA 300 (MCL 257.658).",895,"House Regulatory Reform",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4028/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4028
86880,36,HB4029,1,Introduced,2009-01-22,"Revenue sharing; cities and villages; per capita distribution for cities, villages, and townships; provide for. Amends secs. 11 & 13 of 1971 PA 140 (MCL 141.911 & 141.913).","Revenue sharing; cities and villages; per capita distribution for cities, villages, and townships; provide for. Amends secs. 11 & 13 of 1971 PA 140 (MCL 141.911 & 141.913).",889,"House Appropriations",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4029/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4029
86881,36,HB4030,1,Introduced,2009-01-22,"Education; attendance; compulsory age for attendance; increase to age 18. Amends secs. 1561 & 1596 of 1976 PA 451 (MCL 380.1561 & 380.1596).","Education; attendance; compulsory age for attendance; increase to age 18. Amends secs. 1561 & 1596 of 1976 PA 451 (MCL 380.1561 & 380.1596).",834,"Senate Education",2009-03-05,"Referred To Committee On Education",https://legiscan.com/MI/bill/HB4030/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4030
86882,36,HB4031,1,Introduced,2009-01-22,"Environmental protection; hazardous waste; aboveground gasoline and diesel storage tanks; require remediation and removal of within 3 years of dormancy. Amends sec. 5c of 1941 PA 207 (MCL 29.5c).","Environmental protection; hazardous waste; aboveground gasoline and diesel storage tanks; require remediation and removal of within 3 years of dormancy. Amends sec. 5c of 1941 PA 207 (MCL 29.5c).",821,"House Judiciary",2010-12-01,"Referred To Committee On Judiciary",https://legiscan.com/MI/bill/HB4031/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4031
86883,36,HB4032,1,Introduced,2009-01-22,"Property tax; personal property; classification of leased personal property; revise under certain circumstances. Amends sec. 34c of 1893 PA 206 (MCL 211.34c).","Property tax; personal property; classification of leased personal property; revise under certain circumstances. Amends sec. 34c of 1893 PA 206 (MCL 211.34c).",825,"House Tax Policy",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4032/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4032
86884,36,HB4033,1,Introduced,2009-01-22,"Civil procedure; foreclosure; 1-year moratorium on residential mortgage and land contract foreclosures; make applicable to MSHDA mortgages and land contracts. Amends secs. 48d, 49 & 49i of 1966 PA 346 (MCL 125.1448d et seq.). TIE BAR WITH: HB 4034'09","Civil procedure; foreclosure; 1-year moratorium on residential mortgage and land contract foreclosures; make applicable to MSHDA mortgages and land contracts. Amends secs. 48d, 49 & 49i of 1966 PA 346 (MCL 125.1448d et seq.). TIE BAR WITH: HB 4034'09",816,"House Banking And Financial Services",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4033/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4033
86885,36,HB4034,1,Introduced,2009-01-22,"Civil procedure; foreclosure; 1-year moratorium on residential mortgage and land contract foreclosures; provide for. Amends secs. 3101, 3115, 3201 & 3236 of 1961 PA 236 (MCL 600.3101 et seq.) & adds secs. 3116 & 3237. TIE BAR WITH: HB 4033'09","Civil procedure; foreclosure; 1-year moratorium on residential mortgage and land contract foreclosures; provide for. Amends secs. 3101, 3115, 3201 & 3236 of 1961 PA 236 (MCL 600.3101 et seq.) & adds secs. 3116 & 3237. TIE BAR WITH: HB 4033'09",816,"House Banking And Financial Services",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4034/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4034
86886,36,HB4035,1,Introduced,2009-01-22,"Property tax; exemptions; poverty exemption; revise. Amends sec. 7u of 1893 PA 206 (MCL 211.7u).","Property tax; exemptions; poverty exemption; revise. Amends sec. 7u of 1893 PA 206 (MCL 211.7u).",0,,2009-02-25,"Recommendation Concurred In",https://legiscan.com/MI/bill/HB4035/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4035
86887,36,HB4036,1,Introduced,2009-01-22,"Income tax; exemptions; caring for senior citizen in home; provide for additional exemption. Amends sec. 30 of 1967 PA 281 (MCL 206.30).","Income tax; exemptions; caring for senior citizen in home; provide for additional exemption. Amends sec. 30 of 1967 PA 281 (MCL 206.30).",825,"House Tax Policy",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4036/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4036
86888,36,HB4037,1,Introduced,2009-01-22,"Income tax; credit; tax incentive for purchase of an alternative fuel vehicle; provide for. Amends 1967 PA 281 (MCL 206.1 - 206.532) by adding sec. 278.","Income tax; credit; tax incentive for purchase of an alternative fuel vehicle; provide for. Amends 1967 PA 281 (MCL 206.1 - 206.532) by adding sec. 278.",825,"House Tax Policy",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4037/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4037
86889,36,HB4038,1,Introduced,2009-01-22,"Mobile homes; parks; emergency storm shelter in all mobile home parks; establish. Amends sec. 12 of 1987 PA 96 (MCL 125.2312).","Mobile homes; parks; emergency storm shelter in all mobile home parks; establish. Amends sec. 12 of 1987 PA 96 (MCL 125.2312).",895,"House Regulatory Reform",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4038/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4038
86890,36,HB4039,1,Introduced,2009-01-22,"Occupations; vehicles, dealers and repair facilities; written estimate requirement; increase limit. Amends sec. 34a of 1974 PA 300 (MCL 257.1334a).","Occupations; vehicles, dealers and repair facilities; written estimate requirement; increase limit. Amends sec. 34a of 1974 PA 300 (MCL 257.1334a).",827,"House Transportation",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4039/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4039
86891,36,HB4040,1,Introduced,2009-01-22,"Crime victims; rights; right of victim of identity theft to file police report of that theft; provide for, and require court to order certain restitution. Amends sec. 1a, ch. IX of 1927 PA 175 (MCL 769.1a) & adds sec. 30 to ch. IV. TIE BAR WITH: HB 4041'09, HB 4042'09","Crime victims; rights; right of victim of identity theft to file police report of that theft; provide for, and require court to order certain restitution. Amends sec. 1a, ch. IX of 1927 PA 175 (MCL 769.1a) & adds sec. 30 to ch. IV. TIE BAR WITH: HB 4041'09, HB 4042'09",821,"House Judiciary",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4040/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4040
86892,36,HB4041,1,Introduced,2009-01-22,"Crime victims; rights; restitution of certain costs incurred by victims of identity theft; amend William Van Regenmorter crime victim's rights act to require. Amends secs. 4a, 16, 33b, 44, 64a & 76 of 1985 PA 87 (MCL 780.754a et seq.). TIE BAR WITH: HB 4040'09, HB 4042'09","Crime victims; rights; restitution of certain costs incurred by victims of identity theft; amend William Van Regenmorter crime victim's rights act to require. Amends secs. 4a, 16, 33b, 44, 64a & 76 of 1985 PA 87 (MCL 780.754a et seq.). TIE BAR WITH: HB 4040'09, HB 4042'09",821,"House Judiciary",2009-01-27,"Printed Bill Filed 01/23/2009",https://legiscan.com/MI/bill/HB4041/2009,http://legislature.mi.gov/doc.aspx?2009-HB-4041
