bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
224250,114,HB4001,1,Introduced,2011-01-13,"Michigan business tax; surcharge; surcharge tax; repeal. Repeals sec. 281 of 2007 PA 36 (MCL 208.1281).","Michigan business tax; surcharge; surcharge tax; repeal. Repeals sec. 281 of 2007 PA 36 (MCL 208.1281).",825,"House Tax Policy",2011-01-18,"Printed Bill Filed 01/14/2011",https://legiscan.com/MI/bill/HB4001/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4001
224251,114,HB4002,1,Introduced,2011-01-13,"Income tax; property tax credit; definition of income and the income qualifier phaseout, and amount of credit; revise. Amends secs. 510, 520 & 522 of 1967 PA 281 (MCL 206.510 et seq.).","Income tax; property tax credit; definition of income and the income qualifier phaseout, and amount of credit; revise. Amends secs. 510, 520 & 522 of 1967 PA 281 (MCL 206.510 et seq.).",825,"House Tax Policy",2011-01-18,"Printed Bill Filed 01/14/2011",https://legiscan.com/MI/bill/HB4002/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4002
224252,114,HB4003,4,Passed,2012-12-12,"Labor; public service employment; requirement for agency fee for nonunion members; prohibit in bargaining agreements and as a condition of employment. Amends secs. 1, 9, 10, 14 & 15 of 1947 PA 336 (MCL 423.201 et seq.).","Labor; public service employment; requirement for agency fee for nonunion members; prohibit in bargaining agreements and as a condition of employment. Amends secs. 1, 9, 10, 14 & 15 of 1947 PA 336 (MCL 423.201 et seq.).",0,,2012-12-12,"Assigned Pa 349'12",https://legiscan.com/MI/bill/HB4003/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4003
224253,114,HB4004,4,Passed,2011-05-18,"Transportation; railroads; certain segment of property formerly used for railway; exempt from divestiture provision. Amends sec. 10 of 1976 PA 295 (MCL 474.60).","Transportation; railroads; certain segment of property formerly used for railway; exempt from divestiture provision. Amends sec. 10 of 1976 PA 295 (MCL 474.60).",0,,2011-05-18,"Assigned Pa 29'11 With Immediate Effect",https://legiscan.com/MI/bill/HB4004/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4004
224254,114,HB4005,4,Passed,2011-11-29,"Elections; school; dates of school elections; require to be in November of even numbered years. Amends secs. 302, 642, 642a & 644g of 1954 PA 116 (MCL 168.302 et seq.) & adds sec. 642c. TIE BAR WITH: SB 0427'11","Elections; school; dates of school elections; require to be in November of even numbered years. Amends secs. 302, 642, 642a & 644g of 1954 PA 116 (MCL 168.302 et seq.) & adds sec. 642c. TIE BAR WITH: SB 0427'11",0,,2011-11-29,"Assigned Pa 233'11 With Immediate Effect",https://legiscan.com/MI/bill/HB4005/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4005
224255,114,HB4006,1,Introduced,2011-01-13,"Elections; school; technical amendments to revised school code concerning school board elections; provide for. Amends secs. 4, 5 & 614 of 1976 PA 451 (MCL 380.4 et seq.). TIE BAR WITH: HB 4005'11","Elections; school; technical amendments to revised school code concerning school board elections; provide for. Amends secs. 4, 5 & 614 of 1976 PA 451 (MCL 380.4 et seq.). TIE BAR WITH: HB 4005'11",1784,"Senate Local Government And Elections",2011-09-07,"Referred To Committee On Local Government And Elections",https://legiscan.com/MI/bill/HB4006/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4006
224256,114,HB4007,1,Introduced,2011-01-13,"Townships; charter; procedures to approve annexation petition; revise. Amends sec. 34 of 1947 PA 359 (MCL 42.34).","Townships; charter; procedures to approve annexation petition; revise. Amends sec. 34 of 1947 PA 359 (MCL 42.34).",1721,"House Local, Intergovernmental, And Regional Affairs",2011-01-18,"Printed Bill Filed 01/14/2011",https://legiscan.com/MI/bill/HB4007/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4007
224257,114,HB4008,1,Introduced,2011-01-13,"Vehicles; motorcycles; motorcycle helmet requirement; abolish under certain circumstances. Amends sec. 658 of 1949 PA 300 (MCL 257.658).","Vehicles; motorcycles; motorcycle helmet requirement; abolish under certain circumstances. Amends sec. 658 of 1949 PA 300 (MCL 257.658).",827,"House Transportation",2011-01-18,"Printed Bill Filed 01/14/2011",https://legiscan.com/MI/bill/HB4008/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4008
224258,114,HB4009,1,Introduced,2011-01-13,"Weapons; concealed; specified premises on which a person licensed to carry a concealed weapon may not carry that weapon; eliminate. Amends sec. 5c of 1927 PA 372 (MCL 28.425c) & repeals sec. 5o of 1927 PA 372 (MCL 28.425o).","Weapons; concealed; specified premises on which a person licensed to carry a concealed weapon may not carry that weapon; eliminate. Amends sec. 5c of 1927 PA 372 (MCL 28.425c) & repeals sec. 5o of 1927 PA 372 (MCL 28.425o).",821,"House Judiciary",2011-01-18,"Printed Bill Filed 01/14/2011",https://legiscan.com/MI/bill/HB4009/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4009
224259,114,HB4010,1,Introduced,2011-01-13,"Criminal procedure; sentencing guidelines; crime of carrying a concealed weapon in a prohibited place; delete from guidelines due to repeal of section establishing the violation. Amends sec. 11b of 1927 PA 175 (MCL 777.11b). TIE BAR WITH: HB 4009'11","Criminal procedure; sentencing guidelines; crime of carrying a concealed weapon in a prohibited place; delete from guidelines due to repeal of section establishing the violation. Amends sec. 11b of 1927 PA 175 (MCL 777.11b). TIE BAR WITH: HB 4009'11",821,"House Judiciary",2011-01-18,"Printed Bill Filed 01/14/2011",https://legiscan.com/MI/bill/HB4010/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4010
224260,114,HB4011,1,Introduced,2011-01-13,"Local government; other; fingerprinting of applicants or licensees in certain occupations for the purpose of receiving state and national criminal history record information; allow. Creates new act.","Local government; other; fingerprinting of applicants or licensees in certain occupations for the purpose of receiving state and national criminal history record information; allow. Creates new act.",821,"House Judiciary",2011-01-18,"Printed Bill Filed 01/14/2011",https://legiscan.com/MI/bill/HB4011/2011,http://legislature.mi.gov/doc.aspx?2011-HB-4011
