bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
446875,1007,HB4001,4,Passed,2014-12-31,"Civil rights; public records; statewide standards for freedom of information act costs; modify. Amends secs. 4, 5 & 10 of 1976 PA 442 (MCL 15.234 et seq.).","Civil rights; public records; statewide standards for freedom of information act costs; modify. Amends secs. 4, 5 & 10 of 1976 PA 442 (MCL 15.234 et seq.).",0,,2014-12-31,"Assigned Pa 563'14 With Immediate Effect 2014 Addenda",https://legiscan.com/MI/bill/HB4001/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4001
446858,1007,HB4002,4,Passed,2013-10-16,"Taxation; administration; interest rate for certain refunds; increase. Amends sec. 30 of 1941 PA 122 (MCL 205.30).","Taxation; administration; interest rate for certain refunds; increase. Amends sec. 30 of 1941 PA 122 (MCL 205.30).",0,,2013-10-16,"Assigned Pa 133'13 With Immediate Effect",https://legiscan.com/MI/bill/HB4002/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4002
446842,1007,HB4003,4,Passed,2014-07-16,"Taxation; administration; offer-in-compromise program; provide for. Amends sec. 28 of 1941 PA 122 (MCL 205.28) & adds sec. 23a.","Taxation; administration; offer-in-compromise program; provide for. Amends sec. 28 of 1941 PA 122 (MCL 205.28) & adds sec. 23a.",0,,2014-07-16,"Assigned Pa 240'14 With Immediate Effect",https://legiscan.com/MI/bill/HB4003/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4003
446824,1007,HB4004,1,Introduced,2013-01-09,"Vehicles; fund-raising registration plates; fund-raising plate for ""Early On""; create. Amends 1949 PA 300 (MCL 257.1 - 247.923) by adding sec. 811v.","Vehicles; fund-raising registration plates; fund-raising plate for ""Early On""; create. Amends 1949 PA 300 (MCL 257.1 - 247.923) by adding sec. 811v.",827,"House Transportation",2013-01-22,"Printed Bill Filed 01/10/2013",https://legiscan.com/MI/bill/HB4004/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4004
446809,1007,HB4005,1,Introduced,2013-01-09,"Individual income tax; credit; child and dependent care credit; create. Amends 1967 PA 281 (MCL 206.1 - 206.713) by adding sec. 272a.","Individual income tax; credit; child and dependent care credit; create. Amends 1967 PA 281 (MCL 206.1 - 206.713) by adding sec. 272a.",825,"House Tax Policy",2013-01-22,"Printed Bill Filed 01/10/2013",https://legiscan.com/MI/bill/HB4005/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4005
446791,1007,HB4006,1,Introduced,2013-01-09,"Individual income tax; credit; promise grant tax credit; create. Amends 1967 PA 281 (MCL 206.1 - 206.713) by adding Sec. 279.","Individual income tax; credit; promise grant tax credit; create. Amends 1967 PA 281 (MCL 206.1 - 206.713) by adding Sec. 279.",825,"House Tax Policy",2013-01-22,"Printed Bill Filed 01/10/2013",https://legiscan.com/MI/bill/HB4006/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4006
446777,1007,HB4007,1,Introduced,2013-01-09,"State; symbol; tart cherry; designate as the official state fruit. Creates new act.","State; symbol; tart cherry; designate as the official state fruit. Creates new act.",899,"House Government Operations",2013-01-22,"Printed Bill Filed 01/10/2013",https://legiscan.com/MI/bill/HB4007/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4007
466254,1007,HB4008,1,Introduced,2013-01-22,"Natural resources; gas and oil; report on certain DNR oil and gas leases; require DNR to issue. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding sec. 503c & repeals sec. 503c.","Natural resources; gas and oil; report on certain DNR oil and gas leases; require DNR to issue. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding sec. 503c & repeals sec. 503c.",898,"House Energy And Technology",2013-01-23,"Printed Bill Filed 01/23/2013",https://legiscan.com/MI/bill/HB4008/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4008
466245,1007,HB4009,1,Introduced,2013-01-22,"Local government; public services; regional water quality authority act; create. Creates new act.","Local government; public services; regional water quality authority act; create. Creates new act.",2832,"House Natural Resources",2013-01-23,"Printed Bill Filed 01/23/2013",https://legiscan.com/MI/bill/HB4009/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4009
466233,1007,HB4010,1,Introduced,2013-01-22,"Civil procedure; civil actions; false claims act; enact. Creates new act.","Civil procedure; civil actions; false claims act; enact. Creates new act.",821,"House Judiciary",2013-01-23,"Printed Bill Filed 01/23/2013",https://legiscan.com/MI/bill/HB4010/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4010
466221,1007,HB4011,1,Introduced,2013-01-22,"Communications; emergency 9-1-1; recordings from 9-1-1 calls; prohibit disclosure under certain circumstances. Amends sec. 13 of 1976 PA 442 (MCL 15.243).","Communications; emergency 9-1-1; recordings from 9-1-1 calls; prohibit disclosure under certain circumstances. Amends sec. 13 of 1976 PA 442 (MCL 15.243).",2833,"House Oversight",2013-01-23,"Printed Bill Filed 01/23/2013",https://legiscan.com/MI/bill/HB4011/2013,http://legislature.mi.gov/doc.aspx?2013-HB-4011
