bill_id,people_id,position
446663,2874,1
446663,11176,2
446673,2874,1
446673,11176,2
446689,2874,1
446689,11176,2
446706,2874,1
446706,11176,2
446722,2874,1
446722,11176,2
446739,2874,1
446739,11176,2
446757,10851,1
446777,2839,1
446791,2839,1
446809,2839,1
446824,2839,1
446842,2875,1
446858,10851,1
446875,10851,1
446939,2884,1
446977,2884,1
447016,2884,1
447049,2884,1
447085,2884,1
456829,2790,11
456829,2794,19
456829,2821,37
456829,2832,31
456829,2834,23
456829,2851,35
456829,2855,4
456829,2857,12
456829,2859,13
456829,2862,24
456829,2864,29
456829,2866,32
456829,2884,28
456829,2910,18
456829,2913,1
456829,2920,21
456829,2922,27
456829,2932,2
456829,2933,36
456829,2944,17
456829,2950,26
456829,2957,20
456829,10640,7
456829,10642,5
456829,11458,30
456829,11459,16
456829,11460,9
456829,11461,6
456829,11462,25
456829,11463,34
456829,11464,22
456829,11465,8
456829,11466,10
456829,11467,14
456829,11468,3
456829,11469,15
456829,11474,33
456834,2864,1
456836,2859,1
456838,2932,1
456841,2932,1
456843,11463,1
456847,2864,1
456847,10642,3
456847,11468,2
456850,2834,13
456850,2859,9
456850,2862,5
456850,2864,6
456850,2884,1
456850,2910,7
456850,2950,10
456850,2957,2
456850,10642,8
456850,11460,12
456850,11461,4
456850,11465,11
456850,11466,3
456852,11459,2
456852,11474,1
456854,11459,1
456854,11474,2
456858,11466,1
456861,2855,1
456863,2855,2
456863,11462,1
456866,2855,2
456866,2862,1
456869,2855,1
456872,2855,2
456872,11466,1
456874,2855,2
456874,11461,1
456877,2855,1
456880,2855,1
456883,2855,1
456885,11461,1
456888,11461,1
456888,11463,2
456891,11461,1
456891,11463,2
456894,2855,1
456896,2855,1
456899,2855,1
456903,2957,1
456905,2957,1
456907,2910,2
456907,10640,1
456910,2910,2
456910,10640,1
456910,11465,3
456914,2864,3
456914,10640,1
456914,11465,2
456916,2944,1
456916,11468,3
456916,11474,2
456919,2957,1
456919,11468,3
456919,11474,2
456921,2866,1
456921,11468,3
456921,11474,2
456925,2794,1
456925,11468,3
456925,11474,2
456927,11468,2
456927,11474,1
456930,2866,1
456932,2866,1
456936,2866,1
456938,2866,1
456941,2859,4
456941,2864,5
456941,2866,3
456941,2957,1
456941,11465,2
456941,11468,6
456943,2790,11
456943,2794,14
456943,2821,12
456943,2832,5
456943,2859,3
456943,2910,9
456943,2932,7
456943,2933,10
456943,2957,6
456943,11460,4
456943,11464,2
456943,11467,13
456943,11468,1
456943,11469,15
456943,11474,8
456947,2790,6
456947,2794,8
456947,2821,5
456947,2851,3
456947,2932,2
456947,2933,4
456947,11467,7
456947,11468,1
456947,11469,9
456949,2859,1
456952,2859,1
456954,2859,1
456958,2851,2
456958,11469,1
456960,2851,2
456960,11469,1
456963,2932,2
456963,11469,1
456965,2932,2
456965,11469,1
456969,2851,4
456969,2932,3
456969,2957,2
456969,11469,1
456972,2855,1
456974,2920,1
456976,2920,1
456980,11463,1
456983,11463,1
456985,11463,1
456988,11463,1
456991,2910,1
456994,2832,1
456996,2832,1
456999,2832,1
457002,2832,1
457005,2832,1
457007,2864,1
457010,2910,1
457013,2910,1
457016,2910,1
457018,2910,1
457021,2913,1
465328,11179,1
465335,2784,25
465335,2789,19
465335,2791,31
465335,2803,50
465335,2807,68
465335,2812,5
465335,2816,58
465335,2819,77
465335,2820,79
465335,2823,7
465335,2835,56
465335,2838,71
465335,2839,73
465335,2856,14
465335,2860,45
465335,2871,16
465335,2872,30
465335,2874,76
465335,2875,82
465335,2876,44
465335,10822,32
465335,10823,24
465335,10825,66
465335,10826,38
465335,10829,84
465335,10832,10
465335,10833,85
465335,10835,33
465335,10836,65
465335,10837,75
465335,10839,13
465335,10840,22
465335,10842,9
465335,10843,63
465335,10845,57
465335,10846,36
465335,10848,59
465335,10849,52
465335,10851,2
465335,10854,21
465335,10855,15
465335,10856,26
465335,11167,8
465335,11168,11
465335,11173,23
465335,11174,27
465335,11177,34
465335,11180,37
465335,11182,51
465335,11183,53
465335,11184,54
465335,11186,60
465335,11188,61
465335,11189,1
465335,11190,64
465335,11191,69
465335,11192,70
465335,11193,74
465335,11196,78
465335,13924,29
465335,13925,28
465335,14515,3
465335,14516,4
465335,14517,6
465335,14518,12
465335,14519,17
465335,14520,18
465335,14521,20
465335,14522,35
465335,14523,39
465335,14524,40
465335,14525,41
465335,14526,42
465335,14527,43
465335,14528,46
465335,14529,47
465335,14530,48
465335,14531,49
465335,14532,55
465335,14533,62
465335,14534,67
465335,14536,72
465335,14537,80
465335,14538,81
465335,14539,83
465344,2803,4
465344,2854,12
465344,10826,1
465344,10834,16
465344,10842,7
465344,10843,3
465344,10852,6
465344,10856,10
465344,11173,9
465344,11174,5
465344,11183,2
465344,11185,14
465344,13925,8
465344,14523,13
465344,14525,11
465344,14531,15
465356,10854,1
465367,2807,2
465367,10854,1
465378,2814,2
465378,14518,1
465387,2784,20
465387,2789,16
465387,2791,25
465387,2803,42
465387,2807,53
465387,2814,2
465387,2819,58
465387,2823,5
465387,2831,59
465387,2839,55
465387,2854,11
465387,2856,10
465387,2858,26
465387,2860,38
465387,2871,13
465387,2874,57
465387,2875,62
465387,2876,37
465387,2877,21
465387,10823,19
465387,10825,52
465387,10832,8
465387,10834,50
465387,10836,51
465387,10839,9
465387,10842,7
465387,10843,49
465387,10845,46
465387,10846,30
465387,10848,47
465387,10849,44
465387,10852,48
465387,10854,1
465387,10855,12
465387,10856,22
465387,11167,6
465387,11173,18
465387,11176,27
465387,11177,28
465387,11180,31
465387,11181,39
465387,11182,43
465387,11184,45
465387,11193,56
465387,11196,60
465387,13924,24
465387,13925,23
465387,14516,3
465387,14517,4
465387,14519,14
465387,14520,15
465387,14521,17
465387,14522,29
465387,14523,32
465387,14524,33
465387,14525,34
465387,14526,35
465387,14527,36
465387,14529,40
465387,14530,41
465387,14535,54
465387,14537,61
465387,14539,63
465400,2803,1
465411,2803,1
465423,2784,17
465423,2789,13
465423,2803,1
465423,2812,4
465423,2823,5
465423,2839,40
465423,2860,26
465423,2871,10
465423,2872,20
465423,2876,25
465423,10823,16
465423,10825,37
465423,10834,36
465423,10839,8
465423,10845,32
465423,10848,33
465423,10852,35
465423,10854,15
465423,10855,9
465423,10856,18
465423,11167,6
465423,11180,21
465423,11181,27
465423,11184,30
465423,11186,34
465423,11191,38
465423,11193,41
465423,11196,42
465423,11197,43
465423,13924,19
465423,14515,2
465423,14516,3
465423,14518,7
465423,14519,11
465423,14520,12
465423,14521,14
465423,14525,22
465423,14526,23
