bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
681723,1135,HB4001,4,Passed,2016-12-31,"Labor; hours and wages; prevailing wage; eliminate. Repeals 1965 PA 166 (MCL 408.551 - 408.558).","Labor; hours and wages; prevailing wage; eliminate. Repeals 1965 PA 166 (MCL 408.551 - 408.558).",0,,2016-12-31,"Reported With Recommendation Without Amendment",https://legiscan.com/MI/bill/HB4001/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4001
682002,1135,HB4002,1,Introduced,2015-01-15,"Labor; hours and wages; reference to repealed law; eliminate in economic development corporations act. Amends secs. 6a & 8 of 1974 PA 338 (MCL 125.1606a & 125.1608). TIE BAR WITH: HB 4001'15","Labor; hours and wages; reference to repealed law; eliminate in economic development corporations act. Amends secs. 6a & 8 of 1974 PA 338 (MCL 125.1606a & 125.1608). TIE BAR WITH: HB 4001'15",3163,"House Commerce And Trade",2015-01-20,"Printed Bill Filed 01/16/2015",https://legiscan.com/MI/bill/HB4002/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4002
681874,1135,HB4003,1,Introduced,2015-01-15,"Labor; hours and wages; reference to repealed law; eliminate in school code. Amends secs. 503, 523, 553 & 1311e of 1976 PA 451 (MCL 380.503 et seq.). TIE BAR WITH: HB 4001'15","Labor; hours and wages; reference to repealed law; eliminate in school code. Amends secs. 503, 523, 553 & 1311e of 1976 PA 451 (MCL 380.503 et seq.). TIE BAR WITH: HB 4001'15",3163,"House Commerce And Trade",2015-01-20,"Printed Bill Filed 01/16/2015",https://legiscan.com/MI/bill/HB4003/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4003
676641,1135,HB4004,1,Introduced,2015-01-15,"Townships; charter; procedures to approve annexation petition; revise. Amends sec. 34 of 1947 PA 359 (MCL 42.34).","Townships; charter; procedures to approve annexation petition; revise. Amends sec. 34 of 1947 PA 359 (MCL 42.34).",2830,"House Local Government",2015-01-20,"Printed Bill Filed 01/16/2015",https://legiscan.com/MI/bill/HB4004/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4004
681747,1135,HB4005,1,Introduced,2015-01-15,"Liquor; licenses; penalties and licensing sanctions for critical violations; increase. Amends sec. 903 of 1998 PA 58 (MCL 436.1903).","Liquor; licenses; penalties and licensing sanctions for critical violations; increase. Amends sec. 903 of 1998 PA 58 (MCL 436.1903).",895,"House Regulatory Reform",2015-01-20,"Printed Bill Filed 01/16/2015",https://legiscan.com/MI/bill/HB4005/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4005
681850,1135,HB4006,1,Introduced,2015-01-15,"Law enforcement; investigations; disclosure of call location information by wireless providers to requesting law enforcement agency; require. Creates new act.","Law enforcement; investigations; disclosure of call location information by wireless providers to requesting law enforcement agency; require. Creates new act.",0,,2015-02-18,"Referred To Second Reading",https://legiscan.com/MI/bill/HB4006/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4006
681671,1135,HB4007,1,Introduced,2015-01-15,"Crimes; surveillance; wiretapping; allow in certain circumstances and prescribe procedures, penalties, and remedies. Creates new act.","Crimes; surveillance; wiretapping; allow in certain circumstances and prescribe procedures, penalties, and remedies. Creates new act.",2827,"House Criminal Justice",2015-01-20,"Printed Bill Filed 01/16/2015",https://legiscan.com/MI/bill/HB4007/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4007
682153,1135,HB4008,1,Introduced,2015-01-15,"Criminal procedure; sentencing guidelines; sentencing guidelines for certain wiretapping violations; enact. Amends sec. 17f, ch. XVII of 1927 PA 175 (MCL 777.17f). TIE BAR WITH: HB 4007'15","Criminal procedure; sentencing guidelines; sentencing guidelines for certain wiretapping violations; enact. Amends sec. 17f, ch. XVII of 1927 PA 175 (MCL 777.17f). TIE BAR WITH: HB 4007'15",2827,"House Criminal Justice",2015-01-20,"Printed Bill Filed 01/16/2015",https://legiscan.com/MI/bill/HB4008/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4008
681950,1135,HB4009,1,Introduced,2015-01-15,"Education; financing; use of sinking fund; allow for acquiring or upgrading technology. Amends sec. 1212 of 1976 PA 451 (MCL 380.1212).","Education; financing; use of sinking fund; allow for acquiring or upgrading technology. Amends sec. 1212 of 1976 PA 451 (MCL 380.1212).",825,"House Tax Policy",2015-01-20,"Printed Bill Filed 01/16/2015",https://legiscan.com/MI/bill/HB4009/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4009
681368,1135,HB4010,1,Introduced,2015-01-15,"Higher education; financial aid; number of governing bodies authorized to establish promise zones; increase. Amends sec. 5 of 2008 PA 550 (MCL 390.1645).","Higher education; financial aid; number of governing bodies authorized to establish promise zones; increase. Amends sec. 5 of 2008 PA 550 (MCL 390.1645).",818,"House Education",2015-01-20,"Printed Bill Filed 01/16/2015",https://legiscan.com/MI/bill/HB4010/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4010
681569,1135,HB4011,1,Introduced,2015-01-15,"Property tax; appeals; fees for appealing property tax to the Michigan tax tribunal; revise. Amends sec. 37 of 1973 PA 186 (MCL 205.737).","Property tax; appeals; fees for appealing property tax to the Michigan tax tribunal; revise. Amends sec. 37 of 1973 PA 186 (MCL 205.737).",825,"House Tax Policy",2015-01-20,"Printed Bill Filed 01/16/2015",https://legiscan.com/MI/bill/HB4011/2015,http://legislature.mi.gov/doc.aspx?2015-HB-4011
