bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
907915,1414,HB4001,1,Introduced,2017-01-11,"Individual income tax; rate; annual rollback of rate until zero; provide for. Amends sec. 51 of 1967 PA 281 (MCL 206.51).","Individual income tax; rate; annual rollback of rate until zero; provide for. Amends sec. 51 of 1967 PA 281 (MCL 206.51).",0,,2017-02-23,"Postponed For The Day",https://legiscan.com/MI/bill/HB4001/2017,http://legislature.mi.gov/doc.aspx?2017-HB-4001
907561,1414,HB4002,1,Introduced,2017-01-11,"Local government; other; publication of legal notices; revise, and create the local government public notice act. Creates new act.","Local government; other; publication of legal notices; revise, and create the local government public notice act. Creates new act.",0,,2017-01-12,"Bill Electronically Reproduced 01/11/2017",https://legiscan.com/MI/bill/HB4002/2017,http://legislature.mi.gov/doc.aspx?2017-HB-4002
907589,1414,HB4003,1,Introduced,2017-01-11,"Weapons; concealed; permit requirement to carry and transport a concealed pistol; eliminate for certain individuals. Amends sec. 12a of 1927 PA 372 (MCL 28.432a).","Weapons; concealed; permit requirement to carry and transport a concealed pistol; eliminate for certain individuals. Amends sec. 12a of 1927 PA 372 (MCL 28.432a).",0,,2017-01-12,"Bill Electronically Reproduced 01/11/2017",https://legiscan.com/MI/bill/HB4003/2017,http://legislature.mi.gov/doc.aspx?2017-HB-4003
908086,1414,HB4004,1,Introduced,2017-01-11,"Weapons; firearms; 1927 PA 372; update references. Amends secs. 12 & 15 of 1927 PA 372 (MCL 28.432 & 28.435). TIE BAR WITH: HB 4005'17","Weapons; firearms; 1927 PA 372; update references. Amends secs. 12 & 15 of 1927 PA 372 (MCL 28.432 & 28.435). TIE BAR WITH: HB 4005'17",0,,2017-01-12,"Bill Electronically Reproduced 01/11/2017",https://legiscan.com/MI/bill/HB4004/2017,http://legislature.mi.gov/doc.aspx?2017-HB-4004
907490,1414,HB4005,1,Introduced,2017-01-11,"Crimes; weapons; transportation and possession of a firearm; allow for certain individuals. Amends secs. 227 & 230 of 1931 PA 328 (MCL 750.227 & 750.230) & repeals sec. 231a of 1931 PA 328 (MCL 750.231a).","Crimes; weapons; transportation and possession of a firearm; allow for certain individuals. Amends secs. 227 & 230 of 1931 PA 328 (MCL 750.227 & 750.230) & repeals sec. 231a of 1931 PA 328 (MCL 750.231a).",0,,2017-01-12,"Bill Electronically Reproduced 01/11/2017",https://legiscan.com/MI/bill/HB4005/2017,http://legislature.mi.gov/doc.aspx?2017-HB-4005
907526,1414,HB4006,1,Introduced,2017-01-11,"Weapons; firearms; natural resources and environmental protection act; update references. Amends sec. 43510 of 1994 PA 451 (MCL 324.43510). TIE BAR WITH: HB 4005'17","Weapons; firearms; natural resources and environmental protection act; update references. Amends sec. 43510 of 1994 PA 451 (MCL 324.43510). TIE BAR WITH: HB 4005'17",0,,2017-01-12,"Bill Electronically Reproduced 01/11/2017",https://legiscan.com/MI/bill/HB4006/2017,http://legislature.mi.gov/doc.aspx?2017-HB-4006
907980,1414,HB4007,1,Introduced,2017-01-11,"Natural resources; gas and oil; setback for gas wells near certain residential areas; modify under certain circumstances. Amends sec. 61506b of 1994 PA 451 (MCL 324.61506b).","Natural resources; gas and oil; setback for gas wells near certain residential areas; modify under certain circumstances. Amends sec. 61506b of 1994 PA 451 (MCL 324.61506b).",0,,2017-01-12,"Bill Electronically Reproduced 01/11/2017",https://legiscan.com/MI/bill/HB4007/2017,http://legislature.mi.gov/doc.aspx?2017-HB-4007
907458,1414,HB4008,1,Introduced,2017-01-11,"Natural resources; gas and oil; drilling impact study; establish, and allocate funding. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding sec. 61506d.","Natural resources; gas and oil; drilling impact study; establish, and allocate funding. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding sec. 61506d.",0,,2017-01-12,"Bill Electronically Reproduced 01/11/2017",https://legiscan.com/MI/bill/HB4008/2017,http://legislature.mi.gov/doc.aspx?2017-HB-4008
908019,1414,HB4009,1,Introduced,2017-01-11,"Children; child care; child care database; modify. Amends secs. 3 & 11b of 1973 PA 116 (MCL 722.113 & 722.121b).","Children; child care; child care database; modify. Amends secs. 3 & 11b of 1973 PA 116 (MCL 722.113 & 722.121b).",0,,2017-01-12,"Bill Electronically Reproduced 01/11/2017",https://legiscan.com/MI/bill/HB4009/2017,http://legislature.mi.gov/doc.aspx?2017-HB-4009
907744,1414,HB4010,1,Introduced,2017-01-11,"Traffic control; violations; notification to law enforcement information network (LEIN) of expired, terminated, or canceled automobile insurance; require of secretary of state and make other revisions. Amends secs. 227a, 255, 328 & 907 of 1949 PA 300 (MCL 257.227a et seq.). TIE BAR WITH: HB 4013'17","Traffic control; violations; notification to law enforcement information network (LEIN) of expired, terminated, or canceled automobile insurance; require of secretary of state and make other revisions. Amends secs. 227a, 255, 328 & 907 of 1949 PA 300 (MCL 257.227a et seq.). TIE BAR WITH: HB 4013'17",0,,2017-01-12,"Bill Electronically Reproduced 01/11/2017",https://legiscan.com/MI/bill/HB4010/2017,http://legislature.mi.gov/doc.aspx?2017-HB-4010
907880,1414,HB4011,1,Introduced,2017-01-11,"State; other; establishment of eastern daylight time as the time zone for the state; provide for. Creates new act.","State; other; establishment of eastern daylight time as the time zone for the state; provide for. Creates new act.",0,,2017-01-12,"Bill Electronically Reproduced 01/11/2017",https://legiscan.com/MI/bill/HB4011/2017,http://legislature.mi.gov/doc.aspx?2017-HB-4011
907778,1414,HB4012,1,Introduced,2017-01-11,"Criminal procedure; evidence; evidence obtained in violation of reasonable or probable cause requirements for issuance of a search warrant; allow to be used to revoke parole or probation or impeach a defendant's testimony. Amends sec. 3 of 1966 PA 189 (MCL 780.653).","Criminal procedure; evidence; evidence obtained in violation of reasonable or probable cause requirements for issuance of a search warrant; allow to be used to revoke parole or probation or impeach a defendant's testimony. Amends sec. 3 of 1966 PA 189 (MCL 780.653).",0,,2017-01-12,"Bill Electronically Reproduced 01/11/2017",https://legiscan.com/MI/bill/HB4012/2017,http://legislature.mi.gov/doc.aspx?2017-HB-4012
907655,1414,HB4013,4,Passed,2017-07-12,"Vehicles; registration; paperless registration; allow. Amends sec. 223 of 1949 PA 300 (MCL 257.223).","Vehicles; registration; paperless registration; allow. Amends sec. 223 of 1949 PA 300 (MCL 257.223).",0,,2017-07-12,"Assigned Pa 59'17 With Immediate Effect",https://legiscan.com/MI/bill/HB4013/2017,http://legislature.mi.gov/doc.aspx?2017-HB-4013
908053,1414,HB4014,1,Introduced,2017-01-11,"Individual income tax; credit; credit for pay-to-play fees for students to participate in extracurricular activities at school; provide for. Amends 1967 PA 281 (MCL 206.1 - 206.713) by adding sec. 254.","Individual income tax; credit; credit for pay-to-play fees for students to participate in extracurricular activities at school; provide for. Amends 1967 PA 281 (MCL 206.1 - 206.713) by adding sec. 254.",0,,2017-01-12,"Bill Electronically Reproduced 01/11/2017",https://legiscan.com/MI/bill/HB4014/2017,http://legislature.mi.gov/doc.aspx?2017-HB-4014
907948,1414,HB4015,1,Introduced,2017-01-11,"Housing; condominium; co-owner approval of budgets; provide for, and require LARA to provide investigative, enforcement, and dispute resolution services in conflicts between a co-owner and an association. Amends sec. 107 of 1978 PA 59 (MCL 559.207); adds sec. 70 & repeals sec. 139 of 1978 PA 59 (MCL 559.239).","Housing; condominium; co-owner approval of budgets; provide for, and require LARA to provide investigative, enforcement, and dispute resolution services in conflicts between a co-owner and an association. Amends sec. 107 of 1978 PA 59 (MCL 559.207); adds sec. 70 & repeals sec. 139 of 1978 PA 59 (MCL 559.239).",0,,2017-01-12,"Bill Electronically Reproduced 01/11/2017",https://legiscan.com/MI/bill/HB4015/2017,http://legislature.mi.gov/doc.aspx?2017-HB-4015
908115,1414,HB4016,1,Introduced,2017-01-11,"State agencies (proposed); boards and commissions; Michigan infrastructure council; establish. Creates new act.","State agencies (proposed); boards and commissions; Michigan infrastructure council; establish. Creates new act.",0,,2017-01-12,"Bill Electronically Reproduced 01/11/2017",https://legiscan.com/MI/bill/HB4016/2017,http://legislature.mi.gov/doc.aspx?2017-HB-4016
910257,1414,HB4017,1,Introduced,2017-01-12,"State financing and management; budget; disclosure of payments to local units of government; require. Amends sec. 492 of 1984 PA 431 (MCL 18.1492).","State financing and management; budget; disclosure of payments to local units of government; require. Amends sec. 492 of 1984 PA 431 (MCL 18.1492).",0,,2017-01-18,"Bill Electronically Reproduced 01/12/2017",https://legiscan.com/MI/bill/HB4017/2017,http://legislature.mi.gov/doc.aspx?2017-HB-4017
909987,1414,HB4018,1,Introduced,2017-01-12,"State financing and management; purchasing; preprivatization cost-benefit analysis and process for public service workers to present alternative recommendations; provide for. Amends 1984 PA 431 (MCL 18.1101 - 18.1594) by adding sec. 280.","State financing and management; purchasing; preprivatization cost-benefit analysis and process for public service workers to present alternative recommendations; provide for. Amends 1984 PA 431 (MCL 18.1101 - 18.1594) by adding sec. 280.",0,,2017-01-18,"Bill Electronically Reproduced 01/12/2017",https://legiscan.com/MI/bill/HB4018/2017,http://legislature.mi.gov/doc.aspx?2017-HB-4018
910456,1414,HB4019,1,Introduced,2017-01-12,"Insurance; health insurers; reimbursement for dispensing of a 365-day supply of covered prescription contraception; require. Amends 1956 PA 218 (MCL 500.100 - 500.8302) by adding sec. 3406u.","Insurance; health insurers; reimbursement for dispensing of a 365-day supply of covered prescription contraception; require. Amends 1956 PA 218 (MCL 500.100 - 500.8302) by adding sec. 3406u.",0,,2017-01-18,"Bill Electronically Reproduced 01/12/2017",https://legiscan.com/MI/bill/HB4019/2017,http://legislature.mi.gov/doc.aspx?2017-HB-4019
910122,1414,HB4020,1,Introduced,2017-01-12,"Children; protection; mandatory reporting requirements for child abuse or child neglect; expand to include K-12 coaches and volunteers. Amends sec. 3 of 1975 PA 238 (MCL 722.623).","Children; protection; mandatory reporting requirements for child abuse or child neglect; expand to include K-12 coaches and volunteers. Amends sec. 3 of 1975 PA 238 (MCL 722.623).",0,,2018-03-15,"Recommendation Concurred In",https://legiscan.com/MI/bill/HB4020/2017,http://legislature.mi.gov/doc.aspx?2017-HB-4020
910156,1414,HB4021,1,Introduced,2017-01-12,"Probate; guardians and conservators; guardianship petitions; allow probate judges to schedule certain hearings before minor turns 18 years of age. Amends secs. 5303 & 5306 of 1998 PA 386 (MCL 700.5303 & 700.5306).","Probate; guardians and conservators; guardianship petitions; allow probate judges to schedule certain hearings before minor turns 18 years of age. Amends secs. 5303 & 5306 of 1998 PA 386 (MCL 700.5303 & 700.5306).",0,,2017-01-18,"Bill Electronically Reproduced 01/12/2017",https://legiscan.com/MI/bill/HB4021/2017,http://legislature.mi.gov/doc.aspx?2017-HB-4021
909889,1414,HB4022,1,Introduced,2017-01-12,"Revenue sharing; cities and villages; increased revenue sharing payments for cities, villages, townships, and counties that participate in an incentive program; provide for. Amends 1971 PA 140 (MCL 141.901 - 141.921) by adding sec. 915.","Revenue sharing; cities and villages; increased revenue sharing payments for cities, villages, townships, and counties that participate in an incentive program; provide for. Amends 1971 PA 140 (MCL 141.901 - 141.921) by adding sec. 915.",0,,2017-01-18,"Bill Electronically Reproduced 01/12/2017",https://legiscan.com/MI/bill/HB4022/2017,http://legislature.mi.gov/doc.aspx?2017-HB-4022
910421,1414,HB4023,1,Introduced,2017-01-12,"Law enforcement; other; task force to review school policies and recommend improvements to policy and response efforts to school shootings; create. Creates new act.","Law enforcement; other; task force to review school policies and recommend improvements to policy and response efforts to school shootings; create. Creates new act.",0,,2017-01-18,"Bill Electronically Reproduced 01/12/2017",https://legiscan.com/MI/bill/HB4023/2017,http://legislature.mi.gov/doc.aspx?2017-HB-4023
