bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1143408,1638,HB4001,4,Passed,2019-05-14,"Criminal procedure: forfeiture; asset forfeiture; criminal conviction before proceeding and certain procedures; provide for. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding sec. 7523a. TIE BAR WITH: HB 4002'19, SB 0002'19","Criminal procedure: forfeiture; asset forfeiture; criminal conviction before proceeding and certain procedures; provide for. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding sec. 7523a. TIE BAR WITH: HB 4002'19, SB 0002'19",0,,2019-05-14,"Assigned Pa 8'19 With Immediate Effect",https://legiscan.com/MI/bill/HB4001/2019,http://legislature.mi.gov/doc.aspx?2019-HB-4001
1143141,1638,HB4002,4,Passed,2019-05-14,"Criminal procedure; forfeiture; certain procedures for forfeiture in controlled substance cases; amend. Amends sec. 7523 of 1978 PA 368 (MCL 333.7523). TIE BAR WITH: HB 4001'19, SB 0002'19","Criminal procedure; forfeiture; certain procedures for forfeiture in controlled substance cases; amend. Amends sec. 7523 of 1978 PA 368 (MCL 333.7523). TIE BAR WITH: HB 4001'19, SB 0002'19",0,,2019-05-14,"Assigned Pa 9'19 With Immediate Effect",https://legiscan.com/MI/bill/HB4002/2019,http://legislature.mi.gov/doc.aspx?2019-HB-4002
1143217,1638,HB4003,1,Introduced,2019-03-08,"Family law: marriage and divorce; minimum age of consent for marriage; establish at 18. Amends sec. 3 of 1887 PA 128 (MCL 551.103).","Family law: marriage and divorce; minimum age of consent for marriage; establish at 18. Amends sec. 3 of 1887 PA 128 (MCL 551.103).",821,"House Judiciary",2019-03-08,"Bill Electronically Reproduced 01/09/2019",https://legiscan.com/MI/bill/HB4003/2019,http://legislature.mi.gov/doc.aspx?2019-HB-4003
1143312,1638,HB4004,1,Introduced,2019-03-08,"Family law: marriage and divorce; minimum without publicity for persons under 18 years of age; prohibit. Amends sec. 1 of 1897 PA 180 (MCL 551.201).","Family law: marriage and divorce; minimum without publicity for persons under 18 years of age; prohibit. Amends sec. 1 of 1897 PA 180 (MCL 551.201).",821,"House Judiciary",2019-03-08,"Bill Electronically Reproduced 01/09/2019",https://legiscan.com/MI/bill/HB4004/2019,http://legislature.mi.gov/doc.aspx?2019-HB-4004
1143289,1638,HB4005,1,Introduced,2019-03-08,"Family law: marriage and divorce; minimum entered into by a person under 18 years of age; void. Amends sec. 1 of 1921 PA 352 (MCL 551.51).","Family law: marriage and divorce; minimum entered into by a person under 18 years of age; void. Amends sec. 1 of 1921 PA 352 (MCL 551.51).",821,"House Judiciary",2019-03-08,"Bill Electronically Reproduced 01/09/2019",https://legiscan.com/MI/bill/HB4005/2019,http://legislature.mi.gov/doc.aspx?2019-HB-4005
1143168,1638,HB4006,1,Introduced,2019-03-08,"Individual income tax: retirement or pension benefits; 3-tier limitations and restrictions on deduction for retirement or pension benefits based on taxpayer's age; eliminate. Amends sec. 30 of 1967 PA 281 (MCL 206.30).","Individual income tax: retirement or pension benefits; 3-tier limitations and restrictions on deduction for retirement or pension benefits based on taxpayer's age; eliminate. Amends sec. 30 of 1967 PA 281 (MCL 206.30).",4024,"House Ways And Means",2019-02-28,"Referred To Committee On Ways And Means",https://legiscan.com/MI/bill/HB4006/2019,http://legislature.mi.gov/doc.aspx?2019-HB-4006
1143188,1638,HB4007,2,Engrossed,2019-03-19,"Civil rights: other; freedom of information act exemptions; modify. Amends sec. 13 of 1976 PA 442 (MCL 15.243). TIE BAR WITH: HB 4011'19","Civil rights: other; freedom of information act exemptions; modify. Amends sec. 13 of 1976 PA 442 (MCL 15.243). TIE BAR WITH: HB 4011'19",3416,"Senate Oversight",2019-03-20,"Referred To Committee On Oversight",https://legiscan.com/MI/bill/HB4007/2019,http://legislature.mi.gov/doc.aspx?2019-HB-4007
1143044,1638,HB4008,2,Engrossed,2019-03-19,"Civil rights: other; governor's office; subject to freedom of information act and designate separate part of act. Amends secs. 1 & 2 of 1976 PA 442 (MCL 15.231 & 15.232) & designates pt. 1.","Civil rights: other; governor's office; subject to freedom of information act and designate separate part of act. Amends secs. 1 & 2 of 1976 PA 442 (MCL 15.231 & 15.232) & designates pt. 1.",3416,"Senate Oversight",2019-03-20,"Referred To Committee On Oversight",https://legiscan.com/MI/bill/HB4008/2019,http://legislature.mi.gov/doc.aspx?2019-HB-4008
1143447,1638,HB4009,2,Engrossed,2019-03-19,"Civil rights: other; separation of material exempt from disclosure; provide for. Amends 1976 PA 442 (MCL 15.231 - 15.246) by adding secs. 59e & 59f. TIE BAR WITH: HB 4011'19","Civil rights: other; separation of material exempt from disclosure; provide for. Amends 1976 PA 442 (MCL 15.231 - 15.246) by adding secs. 59e & 59f. TIE BAR WITH: HB 4011'19",3416,"Senate Oversight",2019-03-20,"Referred To Committee On Oversight",https://legiscan.com/MI/bill/HB4009/2019,http://legislature.mi.gov/doc.aspx?2019-HB-4009
1143120,1638,HB4010,2,Engrossed,2019-03-19,"Civil rights: other; appeal procedure of the legislative open records act (LORA); provide for. Amends 1976 PA 442 (MCL 15.231 - 15.246) by adding secs. 59a & 59b. TIE BAR WITH: HB 4011'19","Civil rights: other; appeal procedure of the legislative open records act (LORA); provide for. Amends 1976 PA 442 (MCL 15.231 - 15.246) by adding secs. 59a & 59b. TIE BAR WITH: HB 4011'19",3416,"Senate Oversight",2019-03-20,"Referred To Committee On Oversight",https://legiscan.com/MI/bill/HB4010/2019,http://legislature.mi.gov/doc.aspx?2019-HB-4010
