bill_id,date,chamber,sequence,action
1142175,2019-01-09,Senate,1,"Introduced By Senator Peter Macgregor"
1142175,2019-01-09,Senate,2,"Rules Suspended"
1142175,2019-01-09,Senate,3,Adopted
1142221,2019-01-09,Senate,1,"Introduced By Senator Peter Macgregor"
1142221,2019-01-09,Senate,2,"Rules Suspended"
1142221,2019-01-09,Senate,3,Adopted
1142221,2019-01-08,House,4,"Received In House"
1142221,2019-01-08,House,5,"Adopted And Returned"
1142221,2019-01-15,Senate,6,"House Concurrence Received"
1142221,2019-01-15,Senate,7,"Referred To Secretary For Record"
1142265,2019-01-09,House,1,"Introduced By Representative Triston Cole"
1142265,2019-01-09,House,2,Adopted
1142317,2019-01-09,House,1,"Introduced By Representative Triston Cole"
1142317,2019-01-09,House,2,Adopted
1142365,2019-01-09,Senate,1,"Introduced By Senator Peter Macgregor"
1142365,2019-01-09,Senate,2,"Rules Suspended"
1142365,2019-01-09,Senate,3,Adopted
1142365,2019-01-08,House,4,"Received In House"
1142365,2019-01-08,House,5,"Adopted And Returned"
1142365,2019-01-15,Senate,6,"House Concurrence Received"
1142365,2019-01-15,Senate,7,"Referred To Secretary For Record"
1142413,2019-01-09,Senate,1,"Introduced By Senator Peter Macgregor"
1142413,2019-01-09,Senate,2,"Rules Suspended"
1142413,2019-01-09,Senate,3,Adopted
1142413,2019-01-08,House,4,"Received In House"
1142413,2019-01-08,House,5,"Adopted And Returned"
1142413,2019-01-15,Senate,6,"Referred To Secretary For Record"
1142413,2019-01-15,Senate,7,"House Concurrence Received"
1142459,2019-01-09,House,1,"Introduced By Representative Triston Cole"
1142459,2019-01-09,House,2,Adopted
1142512,2019-01-09,House,1,"Introduced By Representative Triston Cole"
1142512,2019-01-09,House,2,Adopted
1142512,2019-01-09,House,3,"Roll Call Roll Call # 3 Yeas 110 Nays 0 Excused 0 Not Voting 0"
1142560,2019-01-09,House,1,"Introduced By Representative Triston Cole"
1142560,2019-01-09,House,2,Adopted
1142610,2019-01-09,House,1,"Introduced By Representative Triston Cole"
1142610,2019-01-09,House,2,Adopted
1142610,2019-01-09,House,3,"Roll Call Roll Call # 2 Yeas 110 Nays 0 Excused 0 Not Voting 0"
1142655,2019-01-09,Senate,1,"Introduced By Senator Peter Macgregor"
1142655,2019-01-09,Senate,2,"Rules Suspended"
1142655,2019-01-09,Senate,3,Adopted
1142655,2019-01-08,House,4,"Received In House"
1142655,2019-01-08,House,5,"Adopted And Returned"
1142655,2019-01-15,Senate,6,"House Concurrence Received"
1142655,2019-01-15,Senate,7,"Referred To Secretary For Record"
1143044,2019-03-08,House,1,"Introduced By Representative Vanessa Guerra"
1143044,2019-03-08,House,2,"Read A First Time"
1143044,2019-03-08,House,3,"Referred To Committee On Government Operations"
1143044,2019-03-08,House,4,"Bill Electronically Reproduced 01/09/2019"
1143044,2019-03-07,House,5,"Reported With Recommendation With Substitute H-1"
1143044,2019-03-12,House,6,"Referred To Second Reading"
1143044,2019-03-14,House,7,"Read A Second Time"
1143044,2019-03-14,House,8,"Substitute (h-1) Adopted"
1143044,2019-03-14,House,9,"Placed On Third Reading"
1143044,2019-03-19,House,10,"Read A Third Time"
1143044,2019-03-19,House,11,"Passed; Given Immediate Effect Roll Call # 23 Yeas 107 Nays 0 Excused 0 Not Voting 3"
1143044,2019-03-19,House,12,"Title Amended"
1143044,2019-03-19,House,13,Transmitted
1143044,2019-03-20,Senate,14,"Referred To Committee On Oversight"
1143068,2019-03-08,House,1,"Introduced By Representative Andrea Schroeder"
1143068,2019-03-08,House,2,"Read A First Time"
1143068,2019-03-08,House,3,"Referred To Committee On Government Operations"
1143068,2019-03-08,House,4,"Bill Electronically Reproduced 01/09/2019"
1143068,2019-03-12,House,5,"Reported With Recommendation With Substitute (h-1)"
1143068,2019-03-12,House,6,"Referred To Second Reading"
1143068,2019-03-14,House,7,"Read A Second Time"
