bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1405884,1808,HB4001,2,Engrossed,2021-05-06,"Legislature: legislators; voting on bills when a conflict of interest exists; prohibit. Amends 1968 PA 318 (MCL 15.301 - 15.310) by adding sec. 8a. TIE BAR WITH: HB 4682'21, HB 4683'21","Legislature: legislators; voting on bills when a conflict of interest exists; prohibit. Amends 1968 PA 318 (MCL 15.301 - 15.310) by adding sec. 8a. TIE BAR WITH: HB 4682'21, HB 4683'21",838,"Senate Government Operations",2021-05-11,"Referred To Committee On Government Operations",https://legiscan.com/MI/bill/HB4001/2021,http://legislature.mi.gov/doc.aspx?2021-HB-4001
1405877,1808,HB4002,1,Introduced,2021-01-13,"Individual income tax: retirement or pension benefits; 3-tier limitations and restrictions on deduction for retirement or pension benefits based on taxpayer's age; eliminate. Amends sec. 30 of 1967 PA 281 (MCL 206.30).","Individual income tax: retirement or pension benefits; 3-tier limitations and restrictions on deduction for retirement or pension benefits based on taxpayer's age; eliminate. Amends sec. 30 of 1967 PA 281 (MCL 206.30).",825,"House Tax Policy",2021-01-26,"Bill Electronically Reproduced 01/13/2021",https://legiscan.com/MI/bill/HB4002/2021,http://legislature.mi.gov/doc.aspx?2021-HB-4002
1432615,1808,HB4003,2,Engrossed,2022-03-10,"Weapons: licensing; penalty for failure to comply with certain licensing requirements; modify. Amends sec. 227 of 1931 PA 328 (MCL 750.227).","Weapons: licensing; penalty for failure to comply with certain licensing requirements; modify. Amends sec. 227 of 1931 PA 328 (MCL 750.227).",838,"Senate Government Operations",2022-03-15,"Referred To Committee On Government Operations",https://legiscan.com/MI/bill/HB4003/2021,http://legislature.mi.gov/doc.aspx?2021-HB-4003
1432324,1808,HB4004,1,Introduced,2021-01-26,"Financial institutions: small loan companies; licensed providers of deferred presentment service transactions to make certain small loans; allow. Amends title & secs. 2, 11, 13, 15, 17, 19, 22, 31, 32, 33, 34, 35, 36, 45, 48 & 53 of 2005 PA 244 (MCL 487.2122 et seq.) & adds secs. 24, 31a & 32a.","Financial institutions: small loan companies; licensed providers of deferred presentment service transactions to make certain small loans; allow. Amends title & secs. 2, 11, 13, 15, 17, 19, 22, 31, 32, 33, 34, 35, 36, 45, 48 & 53 of 2005 PA 244 (MCL 487.2122 et seq.) & adds secs. 24, 31a & 32a.",895,"House Regulatory Reform",2021-01-27,"Bill Electronically Reproduced 01/26/2021",https://legiscan.com/MI/bill/HB4004/2021,http://legislature.mi.gov/doc.aspx?2021-HB-4004
1432515,1808,HB4005,1,Introduced,2021-01-26,"Gaming: horse racing; pari-mutuel wagering on horse races run in the past; allow, and modify certain licensing procedures. Amends secs. 2, 12, 14, 17, 19, 20, 20a & 22 of 1995 PA 279 (MCL 431.302 et seq.) & repeals sec. 19b of 1995 PA 279 (MCL 431.319b).","Gaming: horse racing; pari-mutuel wagering on horse races run in the past; allow, and modify certain licensing procedures. Amends secs. 2, 12, 14, 17, 19, 20, 20a & 22 of 1995 PA 279 (MCL 431.302 et seq.) & repeals sec. 19b of 1995 PA 279 (MCL 431.319b).",895,"House Regulatory Reform",2021-01-27,"Bill Electronically Reproduced 01/26/2021",https://legiscan.com/MI/bill/HB4005/2021,http://legislature.mi.gov/doc.aspx?2021-HB-4005
1432258,1808,HB4006,1,Introduced,2021-01-26,"Weapons: concealed; pistol-free zones; exempt elected officials, and extend for 1 year after tenure. Amends secs. 1, 5b & 5o of 1927 PA 372 (MCL 28.421 et seq.).","Weapons: concealed; pistol-free zones; exempt elected officials, and extend for 1 year after tenure. Amends secs. 1, 5b & 5o of 1927 PA 372 (MCL 28.421 et seq.).",821,"House Judiciary",2021-01-27,"Bill Electronically Reproduced 01/26/2021",https://legiscan.com/MI/bill/HB4006/2021,http://legislature.mi.gov/doc.aspx?2021-HB-4006
1432637,1808,HB4007,1,Introduced,2021-01-26,"Crimes: public office and officers; assault against a first responder during a riot; prohibit, and provide penalties. Amends 1931 PA 328 (MCL 750.1 - 750.568) by adding sec. 528b.","Crimes: public office and officers; assault against a first responder during a riot; prohibit, and provide penalties. Amends 1931 PA 328 (MCL 750.1 - 750.568) by adding sec. 528b.",821,"House Judiciary",2021-01-27,"Bill Electronically Reproduced 01/26/2021",https://legiscan.com/MI/bill/HB4007/2021,http://legislature.mi.gov/doc.aspx?2021-HB-4007
1432761,1808,HB4008,1,Introduced,2021-01-26,"Health: immunizations; exemptions for vaccines related to a health pandemic; provide for. Amends sec. 5113 of 1978 PA 368 (MCL 333.5113).","Health: immunizations; exemptions for vaccines related to a health pandemic; provide for. Amends sec. 5113 of 1978 PA 368 (MCL 333.5113).",892,"House Health Policy",2021-01-27,"Bill Electronically Reproduced 01/26/2021",https://legiscan.com/MI/bill/HB4008/2021,http://legislature.mi.gov/doc.aspx?2021-HB-4008
1432402,1808,HB4009,1,Introduced,2021-01-26,"Criminal procedure: sentencing guidelines; sentencing guidelines for assault against a first responder during a riot; create. Amends sec. 16y, ch. XVII of 1927 PA 175 (MCL 777.16y). TIE BAR WITH: HB 4007'21","Criminal procedure: sentencing guidelines; sentencing guidelines for assault against a first responder during a riot; create. Amends sec. 16y, ch. XVII of 1927 PA 175 (MCL 777.16y). TIE BAR WITH: HB 4007'21",821,"House Judiciary",2021-01-27,"Bill Electronically Reproduced 01/26/2021",https://legiscan.com/MI/bill/HB4009/2021,http://legislature.mi.gov/doc.aspx?2021-HB-4009
1432475,1808,HB4010,1,Introduced,2021-01-26,"Weapons: concealed; penalties for open-carry of a concealed pistol in prohibited areas; modify. Amends sec. 5o of 1927 PA 372 (MCL 28.425o).","Weapons: concealed; penalties for open-carry of a concealed pistol in prohibited areas; modify. Amends sec. 5o of 1927 PA 372 (MCL 28.425o).",822,"House Military, Veterans And Homeland Security",2021-01-27,"Bill Electronically Reproduced 01/26/2021",https://legiscan.com/MI/bill/HB4010/2021,http://legislature.mi.gov/doc.aspx?2021-HB-4010
1432744,1808,HB4011,1,Introduced,2021-01-26,"Weapons: concealed; sentencing guidelines; update. Amends sec. 11b, ch. XVII of 1927 PA 175 (MCL 777.11b). TIE BAR WITH: HB 4010'21","Weapons: concealed; sentencing guidelines; update. Amends sec. 11b, ch. XVII of 1927 PA 175 (MCL 777.11b). TIE BAR WITH: HB 4010'21",822,"House Military, Veterans And Homeland Security",2021-01-27,"Bill Electronically Reproduced 01/26/2021",https://legiscan.com/MI/bill/HB4011/2021,http://legislature.mi.gov/doc.aspx?2021-HB-4011
1432131,1808,HB4012,1,Introduced,2021-01-26,"Weapons: licensing; carrying of concealed pistols by certain pistol instructors in no-carry zones; allow. Amends secs. 1, 5b & 5o of 1927 PA 372 (MCL 28.421 et seq.).","Weapons: licensing; carrying of concealed pistols by certain pistol instructors in no-carry zones; allow. Amends secs. 1, 5b & 5o of 1927 PA 372 (MCL 28.421 et seq.).",822,"House Military, Veterans And Homeland Security",2021-01-27,"Bill Electronically Reproduced 01/26/2021",https://legiscan.com/MI/bill/HB4012/2021,http://legislature.mi.gov/doc.aspx?2021-HB-4012
1432581,1808,HB4013,1,Introduced,2021-01-26,"Weapons: concealed; issuance of a temporary concealed pistol license during a declared emergency; allow. Amends secs. 5a & 5b of 1927 PA 372 (MCL 28.425a & 28.425b).","Weapons: concealed; issuance of a temporary concealed pistol license during a declared emergency; allow. Amends secs. 5a & 5b of 1927 PA 372 (MCL 28.425a & 28.425b).",822,"House Military, Veterans And Homeland Security",2021-01-27,"Bill Electronically Reproduced 01/26/2021",https://legiscan.com/MI/bill/HB4013/2021,http://legislature.mi.gov/doc.aspx?2021-HB-4013
1432703,1808,HB4014,2,Engrossed,2021-03-24,"Traffic control: speed restrictions; procedure for establishing speed limits; modify. Amends sec. 628 of 1949 PA 300 (MCL 257.628).","Traffic control: speed restrictions; procedure for establishing speed limits; modify. Amends sec. 628 of 1949 PA 300 (MCL 257.628).",3836,"Senate Transportation And Infrastructure",2021-03-25,"Referred To Committee On Transportation And Infrastructure",https://legiscan.com/MI/bill/HB4014/2021,http://legislature.mi.gov/doc.aspx?2021-HB-4014
1432150,1808,HB4015,4,Passed,2021-07-01,"Consumer protection: marketing and advertising; disclosure from third-party websites conducting state business; require. Amends sec. 3 of 1976 PA 331 (MCL 445.903) & adds sec. 3m.","Consumer protection: marketing and advertising; disclosure from third-party websites conducting state business; require. Amends sec. 3 of 1976 PA 331 (MCL 445.903) & adds sec. 3m.",0,,2021-07-01,"Assigned Pa 46'21",https://legiscan.com/MI/bill/HB4015/2021,http://legislature.mi.gov/doc.aspx?2021-HB-4015
1432431,1808,HB4016,1,Introduced,2021-01-26,"Traffic control: violations; eligibility for basic driver improvement course; modify. Amends sec. 320d of 1949 PA 300 (MCL 257.320d).","Traffic control: violations; eligibility for basic driver improvement course; modify. Amends sec. 320d of 1949 PA 300 (MCL 257.320d).",827,"House Transportation",2021-01-27,"Bill Electronically Reproduced 01/26/2021",https://legiscan.com/MI/bill/HB4016/2021,http://legislature.mi.gov/doc.aspx?2021-HB-4016
