people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
2809,"Kenneth Horn",Kenneth,,Horn,,Ken,2,R,2,Sen,SD-032,26959,65768,,Ken_Horn,249425,0
2854,"Kevin Daley",Kevin,,Daley,,,2,R,2,Sen,SD-031,13002539,105597,,Kevin_Daley,268369,0
2865,"Wayne Schmidt",Wayne,A.,Schmidt,,,2,R,2,Sen,SD-037,281968,87093,,Wayne_Schmidt,268407,0
2874,"Jim Stamas",Jim,,Stamas,,,2,R,2,Sen,SD-036,57255,105707,,Jim_Stamas,268395,0
10833,"Dale Zorn",Dale,W.,Zorn,,,2,R,2,Sen,SD-017,106937,88207,,Dale_Zorn,291834,0
10842,"Jon Bumstead",Jon,,Bumstead,,,2,R,2,Sen,SD-034,139421,123095,,Jon_Bumstead,290062,0
10851,"Michael Shirkey",Michael,J.,Shirkey,,Mike,2,R,2,Sen,SD-016,541130,124194,,Mike_Shirkey,290035,0
10852,"Ricky Outman",Ricky,L.,Outman,,Rick,2,R,1,Rep,SD-033,6676958,105560,,Rick_Outman,296962,0
11166,"James Ananich",James,,Ananich,,Jim,1,D,2,Sen,SD-027,147406,37901,,Jim_Ananich,290029,0
11179,"Jeff Irwin",Jeff,,Irwin,,,1,D,2,Sen,SD-018,170483,89555,,Jeff_Irwin,296952,0
11183,"Ed McBroom",Ed,,McBroom,,,2,R,2,Sen,SD-038,184827,124476,,Ed_McBroom,297009,0
11184,"Sean McCann",Sean,A.,McCann,,,1,D,2,Sen,SD-020,128271,76066,,Sean_McCann,291838,0
11185,"Aric Nesbitt",Aric,Y.,Nesbitt,,,2,R,2,Sen,SD-026,117409,124278,,Aric_Nesbitt,251486,0
14517,"Winnie Brinks",Winnie,Theresa,Brinks,,,1,D,2,Sen,SD-029,292533,143374,,Winnie_Brinks,436517,0
14529,"Dan Lauwers",Dan,,Lauwers,,,2,R,2,Sen,SD-025,12720097,139989,,Dan_Lauwers,401506,0
14538,"Roger Victory",Roger,,Victory,,,2,R,2,Sen,SD-030,56635,140004,,Roger_Victory,410693,0
