bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1656706,2637988,text,78075,text/html,Introduced,https://legiscan.com/MI/text/HB4001/id/2637988,https://legislature.mi.gov/documents/2023-2024/billintroduced/House/htm/2023-HIB-4001.htm
1656706,2666761,text,78075,text/html,Engrossed,https://legiscan.com/MI/text/HB4001/id/2666761,https://legislature.mi.gov/documents/2023-2024/billengrossed/House/htm/2023-HEBH-4001.htm
1656706,2674727,text,15908,text/html,Engrossed,https://legiscan.com/MI/text/HB4001/id/2674727,https://legislature.mi.gov/documents/2023-2024/billengrossed/House/htm/2023-HEBS-4001.htm
1656706,2723486,text,106516,text/html,Enrolled,https://legiscan.com/MI/text/HB4001/id/2723486,https://legislature.mi.gov/documents/2023-2024/billenrolled/House/htm/2023-HNB-4001.htm
1656706,2730384,text,106852,text/html,Chaptered,https://legiscan.com/MI/text/HB4001/id/2730384,https://legislature.mi.gov/documents/2023-2024/publicact/htm/2023-PA-0004.htm
1656684,2637969,text,5875,text/html,Introduced,https://legiscan.com/MI/text/HB4002/id/2637969,https://legislature.mi.gov/documents/2023-2024/billintroduced/House/htm/2023-HIB-4002.htm
1656684,2666759,text,8857,text/html,Engrossed,https://legiscan.com/MI/text/HB4002/id/2666759,https://legislature.mi.gov/documents/2023-2024/billengrossed/House/htm/2023-HEBH-4002.htm
1656753,2638033,text,45133,text/html,Introduced,https://legiscan.com/MI/text/HB4003/id/2638033,https://legislature.mi.gov/documents/2023-2024/billintroduced/House/htm/2023-HIB-4003.htm
1656753,2733204,text,45133,text/html,Engrossed,https://legiscan.com/MI/text/HB4003/id/2733204,https://legislature.mi.gov/documents/2023-2024/billengrossed/House/htm/2023-HEBH-4003.htm
1656778,2638057,text,37001,text/html,Introduced,https://legiscan.com/MI/text/HB4004/id/2638057,https://legislature.mi.gov/documents/2023-2024/billintroduced/House/htm/2023-HIB-4004.htm
1656778,2733652,text,40381,text/html,Engrossed,https://legiscan.com/MI/text/HB4004/id/2733652,https://legislature.mi.gov/documents/2023-2024/billengrossed/House/htm/2023-HEBH-4004.htm
1656778,2745431,text,40381,text/html,Engrossed,https://legiscan.com/MI/text/HB4004/id/2745431,https://legislature.mi.gov/documents/2023-2024/billengrossed/House/htm/2023-HEBS-4004.htm
1656778,2749651,text,32972,text/html,Enrolled,https://legiscan.com/MI/text/HB4004/id/2749651,https://legislature.mi.gov/documents/2023-2024/billenrolled/House/htm/2023-HNB-4004.htm
1656778,2759331,text,34531,text/html,Chaptered,https://legiscan.com/MI/text/HB4004/id/2759331,https://legislature.mi.gov/documents/2023-2024/publicact/htm/2023-PA-0009.htm
1656609,2637900,text,20063,text/html,Introduced,https://legiscan.com/MI/text/HB4005/id/2637900,https://legislature.mi.gov/documents/2023-2024/billintroduced/House/htm/2023-HIB-4005.htm
1656609,2733664,text,19243,text/html,Engrossed,https://legiscan.com/MI/text/HB4005/id/2733664,https://legislature.mi.gov/documents/2023-2024/billengrossed/House/htm/2023-HEBH-4005.htm
1656732,2638013,text,4461,text/html,Introduced,https://legiscan.com/MI/text/HB4006/id/2638013,https://legislature.mi.gov/documents/2023-2024/billintroduced/House/htm/2023-HIB-4006.htm
