people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
2776,Paul Opsommer,Paul,,Opsommer,,,2,R,1,Rep,HD-093,6671434,66293,,Paul_Opsommer,249421,0
2777,Brian Calley,Brian,N.,Calley,,,2,R,1,Rep,HD-087,134675,65735,,Brian_Calley,249412,0
2778,Lesia Liss,Lesia,,Liss,,,1,D,1,Rep,HD-028,176395,105436,,Lesia_Liss,268271,0
2779,Richard LeBlanc,Richard,,LeBlanc,,,1,D,1,Rep,HD-018,152172,66901,,Richard_LeBlanc,249371,0
2781,Mary Valentine,Mary,,Valentine,,,1,D,1,Rep,HD-091,6472840,66309,,Mary_Valentine,0,0
2782,Richard Hammel,Richard,E.,Hammel,,,1,D,1,Rep,HD-048,13002344,66617,,Richard_Hammel,249388,0
2783,Tim Moore,Tim,,Moore,,,2,R,1,Rep,HD-097,13002630,37753,,"Tim_Moore,_Former_Michigan_Representative",227592,0
2784,Douglas Geiss,Douglas,A.,Geiss,,,1,D,1,Rep,HD-012,13002147,76560,,Douglas_Geiss,268250,0
2785,Richard Ball,Richard,J.,Ball,,,2,R,1,Rep,HD-085,158456,19874,,Richard_Ball,227580,0
2786,Bob Constan,Bob,,Constan,,,1,D,1,Rep,HD-016,543330,67546,,Bob_Constan,249367,0
2787,Larry DeShazor,Larry,B.,DeShazor,,,2,R,1,Rep,HD-061,314632,76331,,Larry_DeShazor,268332,0
2788,Marie Donigan,Marie,,Donigan,,,1,D,1,Rep,HD-026,336597,37473,,Marie_Donigan,227541,0
2789,Fred Durhal,Fred,,Durhal,Jr.,,1,D,1,Rep,HD-005,13002113,20126,,"Fred_Durhal,_Jr.",268228,0
2790,Vincent Gregory,Vincent,,Gregory,,,1,D,1,Rep,SD-011,320034,88592,,Vincent_Gregory,268282,0
2791,Harold Haugh,Harold,L.,Haugh,,,1,D,1,Rep,HD-022,6492451,76390,,Harold_Haugh,268299,0
2792,Michael Huckleberry,Michael,,Huckleberry,,Mike,1,D,1,Rep,HD-070,260698,37628,,Michael_Huckleberry,268347,0
2793,Shanelle Jackson,Shanelle,,Jackson,,,1,D,1,Rep,HD-009,13002137,37784,,Shanelle_Jackson,249364,0
2794,Bertram Johnson,Bertram,Courtney,Johnson,,Bert,1,D,1,Rep,SD-002,535943,66110,,Bert_Johnson_(Michigan),249360,0
2795,Robert Jones,Robert,B.,Jones,,,1,D,1,Rep,HD-060,13002418,65826,,Robert_Jones_(Michigan),249395,0
2796,Deb Kennedy,Deb,,Kennedy,,,1,D,1,Rep,HD-023,268800,105408,,Deb_Kennedy,268255,0
2797,Michael Lahti,Michael,A.,Lahti,,,1,D,1,Rep,HD-110,13002749,66335,,Michael_Lahti,249437,0
2798,Gabe Leland,Gabe,,Leland,,,1,D,1,Rep,HD-010,1417035,37421,,Gabe_Leland,227535,0
2799,LaMar Lemmons,LaMar,,Lemmons,Jr.,,1,D,1,Rep,HD-002,13002101,20122,,"LaMar_Lemmons,_Jr.",0,0
2800,Tim Melton,Tim,,Melton,,,1,D,1,Rep,HD-029,548746,66602,,Tim_Melton,249379,0
